date,status,reason,candidate_count,title,url,note
"2025-07-03","still_missing","no_article_candidate","0","","",""
"2025-07-02","still_missing","no_article_candidate","0","","",""
"2025-07-01","still_missing","no_article_candidate","0","","",""
"2025-06-30","still_missing","no_article_candidate","0","","",""
"2025-06-29","still_missing","no_article_candidate","0","","",""
"2025-06-28","still_missing","no_article_candidate","0","","",""
"2025-06-27","still_missing","no_article_candidate","0","","",""
"2025-06-26","still_missing","no_article_candidate","0","","",""
"2025-06-24","still_missing","no_article_candidate","0","","",""
"2025-06-23","still_missing","no_article_candidate","0","","",""
"2025-06-22","still_missing","no_article_candidate","0","","",""
"2025-06-21","still_missing","no_article_candidate","0","","",""
"2025-06-20","still_missing","no_article_candidate","0","","",""
"2025-06-19","still_missing","no_article_candidate","0","","",""
"2025-06-18","still_missing","no_article_candidate","0","","",""
"2025-06-17","still_missing","no_article_candidate","0","","",""
"2025-06-15","still_missing","no_article_candidate","0","","",""
"2025-06-14","still_missing","validation_failed","1","","",""
"2025-06-13","still_missing","no_article_candidate","0","","",""
"2025-06-12","still_missing","validation_failed","1","","",""
"2025-06-11","still_missing","no_article_candidate","0","","",""
"2025-06-09","still_missing","no_article_candidate","0","","",""
"2025-06-08","still_missing","no_article_candidate","0","","",""
"2025-06-05","still_missing","no_article_candidate","0","","",""
"2025-06-04","still_missing","no_article_candidate","0","","",""
"2025-06-03","still_missing","no_article_candidate","0","","",""
"2025-06-02","still_missing","no_article_candidate","0","","",""
"2025-05-31","still_missing","no_article_candidate","0","","",""
"2025-05-30","still_missing","no_article_candidate","0","","",""
"2025-05-29","still_missing","no_article_candidate","0","","",""
"2025-05-28","still_missing","no_article_candidate","0","","",""
"2025-05-26","still_missing","no_article_candidate","0","","",""
"2025-05-25","still_missing","no_article_candidate","0","","",""
"2025-05-24","still_missing","no_article_candidate","0","","",""
"2025-05-23","still_missing","no_article_candidate","0","","",""
"2025-05-22","still_missing","no_article_candidate","0","","",""
"2025-05-21","still_missing","no_article_candidate","0","","",""
"2025-05-20","still_missing","no_article_candidate","0","","",""
"2025-05-19","still_missing","no_article_candidate","0","","",""
"2025-05-18","still_missing","no_article_candidate","0","","",""
"2025-05-16","still_missing","no_article_candidate","0","","",""
"2025-05-15","still_missing","no_article_candidate","0","","",""
"2025-05-14","still_missing","no_article_candidate","0","","",""
"2025-05-11","still_missing","no_article_candidate","0","","",""
"2025-05-09","still_missing","no_article_candidate","0","","",""
"2025-05-08","still_missing","no_article_candidate","0","","",""
"2025-05-07","still_missing","no_article_candidate","0","","",""
"2025-05-06","still_missing","no_article_candidate","0","","",""
"2025-05-05","still_missing","no_article_candidate","0","","",""
"2025-05-04","still_missing","no_article_candidate","0","","",""
"2025-05-03","still_missing","no_article_candidate","0","","",""
"2025-05-02","still_missing","no_article_candidate","0","","",""
"2025-05-01","still_missing","no_article_candidate","0","","",""
"2025-04-30","still_missing","no_article_candidate","0","","",""
"2025-04-29","still_missing","no_article_candidate","0","","",""
"2025-04-28","still_missing","no_article_candidate","0","","",""
"2025-04-27","still_missing","no_article_candidate","0","","",""
"2025-04-26","still_missing","no_article_candidate","0","","",""
"2025-04-25","still_missing","no_article_candidate","0","","",""
